study,Exp,study_Exp,year,captive_or_free-living,Family,Species,Class,Model_Choice,Model_Choice_Code,Virgin,model_exp,lnOR,VlnOR,SElnOR
DUG1992SEX,2,DUG1992SEX2,1992,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,1.53393036,0.594177065,0.770828817
DUG1993FEM,1,DUG1993FEM1,1993,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,more_exp,1.734601055,0.592156863,0.769517292
DUG1993FEM,2,DUG1993FEM2,1993,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,more_exp,0.405465108,0.408333333,0.63900965
DUG1996INT,1,DUG1996INT1,1996,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,1.53393036,0.594177065,0.770828817
DUG1996INT,2,DUG1996INT2,1996,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,3.469202111,0.784313725,0.885614886
DUG1996INT,3,DUG1996INT3,1996,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,3.583518938,0.868055556,0.931694991
DUG1996INT,4,DUG1996INT4,1996,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,0.810930216,0.868055556,0.931694991
DUG1998EFF,1,DUG1998EFF1,1998,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,-0.405465108,0.408333333,0.63900965
DUG1998EFF,2,DUG1998EFF2,1998,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,0.200670695,0.402020202,0.63405063
DUG1998EFF,3,DUG1998EFF3,1998,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,0.200670695,0.402020202,0.63405063
DUG1998EFF,4,DUG1998EFF4,1998,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,1.734601055,0.592156863,0.769517292
DUG1998GEN,1,DUG1998GEN1,1998,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,0,0.625,0.790569415
DUG1998GEN,2,DUG1998GEN2,1998,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,1.791759469,0.520833333,0.721687836
DUG1998GEN,3,DUG1998GEN3,1998,captive,Poeciliidae,reticulata,Actinoperygii,less_attractive,reversal,Y,matched,1.791759469,0.520833333,0.721687836
DUG2003THE,1,DUG2003THE1,2003,captive,Poeciliidae,reticulata,Actinoperygii,reversal,reversal,N,matched,1.694595721,0.476190476,0.690065559
DUG2003THE,2,DUG2003THE2,2003,captive,Poeciliidae,reticulata,Actinoperygii,same,non_reversal,N,matched,0,0.476190476,0.690065559
FOR1996FEM,1,FOR1996FEM1,1996,captive,Gobiidae,minutu,Actinoperygii,random,non_reversal,N,matched,0,0.5,0.707106781
FOR1996FEM,2,FOR1996FEM2,1996,captive,Gobiidae,minutu,Actinoperygii,random,non_reversal,N,matched,1.871802177,0.843589744,0.918471417
FOW2015THE,1,FOW2015THE1,2015,captive,Lycosidae,ocreata,Arachnida,model_choice,non_reversal,Y,matched,2.197224577,1.511111111,1.229272594
FOW2015THE,2,FOW2015THE2,2015,captive,Lycosidae,ocreata,Arachnida,model_choice,non_reversal,Y,matched,0.182321557,0.73030303,0.854577691
FRE2009ACO,1,FRE2009ACO1,2009,captive,Icteridae,ater,Aves,model_choice,non_reversal,N,matched,0.977271796,0.040695623,0.201731563
FRE2009ACO,2,FRE2009ACO2,2009,captive,Icteridae,ater,Aves,model_choice,non_reversal,Y,matched,0.776411417,0.053599509,0.231515677
GER2016MAT,1,GER2016MAT1,2016,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,1.09383901,0.269514696,0.519148048
GER2016MAT,2,GER2016MAT2,2016,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.493126047,0.285171261,0.53401429
GER2016MAT,3,GER2016MAT3,2016,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.3074847,0.247712418,0.497707161
GER2016MAT,4,GER2016MAT4,2016,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.123060093,0.246282373,0.496268448
GIE2018MAT,1,GIE2018MAT1,2018,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,matched,3.044522438,1.349206349,1.161553421
GIE2018MAT,2,GIE2018MAT2,2018,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,matched,3.044522438,1.349206349,1.161553421
GIE2018USI,1,GIE2018USI1,2018,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,more_exp,2.883403089,0.917832168,0.958035578
GIE2018USI,2,GIE2018USI2,2018,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,more_exp,2.564949357,0.876923077,0.93644171
GOD2005SOC,1,GOD2005SOC1,2005,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,matched,3.555348061,0.485714286,0.696932052
GOD2005SOC,2,GOD2005SOC2,2005,captive,Poeciliidae,latipinna,Actinoperygii,reversal,reversal,Y,matched,3.339321978,2.398108747,1.548582819
GOD2009MAT,1,GOD2009MAT1,2009,free-living,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,N,more_exp,3.401197382,1.154901961,1.07466365
GOL1993SEL,1,GOL1993SEL1,1993,captive,Gasterosteidae,aculeatus,Actinoperygii,random,non_reversal,N,matched,-0.251314428,0.503968254,0.709907215
GOU1997REP,1,GOU1997REP1,1997,free-living,Pomacentridae,leucogaster,Actinoperygii,model_choice,non_reversal,N,matched,3.688879454,1.122560976,1.059509781
GOU1997REP,2,GOU1997REP2,1997,free-living,Pomacentridae,leucogaster,Actinoperygii,model_choice,non_reversal,N,matched,2.302585093,3,1.732050808
GOU2006NON,1,GOU2006NON1,2006,free-living,Pomacentridae,leucogaster,Actinoperygii,model_choice,non_reversal,N,matched,1.48637782,0.103371292,0.321514062
GOU2006NON,2,GOU2006NON2,2006,free-living,Pomacentridae,leucogaster,Actinoperygii,model_choice,non_reversal,N,matched,1.113650166,0.105323739,0.32453619
GRA1996MAT,1,GRA1996MAT1,1996,captive,Adrianichthyidae,latipes,Actinoperygii,random,non_reversal,N,matched,1.041453875,0.39940324,0.631983575
GRA1996MAT,2,GRA1996MAT2,1996,captive,Adrianichthyidae,latipes,Actinoperygii,random,non_reversal,N,matched,0.579818495,0.213992674,0.462593422
HOW1998MAT,1,HOW1998MAT1,1998,captive,Adrianichthyidae,latipes,Actinoperygii,reversal,reversal,N,matched,-1.098612289,0.466666667,0.683130051
LAF1997FEM,1,LAF1997FEM1,1997,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,N,matched,0.361790045,0.342796093,0.58548791
MAT2013FEM,1,MAT2013FEM1,2013,free-living,Blenniidae,nitidus,Actinoperygii,random,non_reversal,N,matched,3.784189634,2.227272727,1.492405014
MER2009PUB,1,MER2009PUB1,2009,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.493876065,0.117690153,0.343059985
MER2009PUB,2,MER2009PUB2,2009,captive,Drosophilidae,melanogaster,Insecta,random,non_reversal,Y,matched,0.890315245,0.118110661,0.343672317
MIL2011NON,1,MIL2011NON1,2011,free-living,Ocypodidae,mjoebergi,Malacostraca,random,non_reversal,N,matched,0,0.16,0.4
MON2018EFF,1,MON2018EFF1,2018,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.438254931,0.160689437,0.40086087
MON2018EFF,2,MON2018EFF2,2018,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.971860583,0.176886971,0.420579328
MON2018EFF,3,MON2018EFF3,2018,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.730887509,0.213960114,0.462558228
MON2018EFF,4,MON2018EFF4,2018,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,1.145132304,0.321645022,0.567137569
MON2019DOP,1,MON2019DOP1,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.730887509,0.071320038,0.267058117
MON2019DOP,2,MON2019DOP2,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.066691374,0.13340749,0.3652499
MON2019DOP,3,MON2019DOP3,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,-0.032789823,0.131165168,0.362167321
MON2019DOP,4,MON2019DOP4,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,1.072636802,0.090835119,0.301388652
MON2019DOP,5,MON2019DOP5,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.207639365,0.09245137,0.30405817
MON2019DOP,6,MON2019DOP6,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,-0.266628663,0.097247145,0.311844744
MON2019DOP,7,MON2019DOP7,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.893817876,0.142798957,0.377887493
MON2019DOP,8,MON2019DOP8,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.893817876,0.142798957,0.377887493
MON2019DOP,9,MON2019DOP9,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.773189888,0.15137202,0.389065573
MON2019DOP,10,MON2019DOP10,2019,captive,Drosophilidae,melanogaster,Insecta,model_choice,non_reversal,Y,matched,0.669049629,0.136525421,0.369493465
MUN2004MAT,1,MUN2004MAT1,2004,captive,Poeciliidae,nigrofasciata,Actinoperygii,reversal,reversal,N,more_exp,0.703299552,0.360750361,0.600624975
MUN2004MAT,2,MUN2004MAT2,2004,captive,Poeciliidae,nigrofasciata,Actinoperygii,same,non_reversal,N,more_exp,-0.190689806,0.382236228,0.61825256
NOB2018COP,1,NOB2018COP1,2018,captive,Drosophilidae,melanogaster,Insecta,less_attractive,reversal,Y,matched,1.091012079,0.054490737,0.233432511
NOB2018COP,2,NOB2018COP2,2018,captive,Drosophilidae,melanogaster,Insecta,more_attractive,reversal,Y,matched,-0.255336674,0.066285642,0.257459981
PAT1998DO,1,PAT1998DO1,1998,captive,Gasterosteidae,aculeatus,Actinoperygii,random,non_reversal,N,matched,0.287682072,0.25,0.5
SLA1999MAT,1,SLA1999MAT1,1999,captive,Muscicapidae,hypoleuca,Aves,random,non_reversal,N,matched,0.451985124,0.455988456,0.675269173
STI2011ALL,1,STI2011ALL1,2011,free-living,Percidae,olmstedi,Actinoperygii,random,non_reversal,N,matched,2.233592222,0.498079877,0.705747743
STI2011ALL,2,STI2011ALL2,2011,free-living,Percidae,olmstedi,Actinoperygii,random,non_reversal,N,matched,-0.15415068,0.617216117,0.785631031
VUK2007SIZ,1,VUK2007SIZ1,2007,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,more_exp,-0.693147181,0.708333333,0.841625412
VUK2007SIZ,2,VUK2007SIZ2,2007,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,more_exp,1.704748092,0.898601399,0.947945884
VUK2007SIZ,3,VUK2007SIZ3,2007,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,more_exp,1.386294361,1.025,1.012422837
VUK2007SIZ,4,VUK2007SIZ4,2007,captive,Poeciliidae,reticulata,Actinoperygii,random,non_reversal,Y,matched,0.470003629,0.632692308,0.79541958
